"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/11/2021";"0000";"17,6";"17,7";"17,5";"100,0";"100,0";"100,0";"17,6";"17,7";"17,5";"928,1";"928,1";"927,7";"2,5";"116,0";"5,8";"";"0,0"
"01/11/2021";"0100";"17,6";"17,7";"17,5";"100,0";"100,0";"100,0";"17,6";"17,7";"17,5";"928,2";"928,4";"928,1";"2,1";"127,0";"5,0";"";"0,0"
"01/11/2021";"0200";"17,3";"17,6";"17,3";"100,0";"100,0";"100,0";"17,3";"17,6";"17,3";"927,9";"928,2";"927,9";"1,5";"114,0";"5,2";"";"0,0"
"01/11/2021";"0300";"17,2";"17,4";"17,1";"100,0";"100,0";"100,0";"17,2";"17,4";"17,1";"927,5";"927,9";"927,5";"0,5";"162,0";"3,8";"";"0,2"
"01/11/2021";"0400";"17,0";"17,2";"17,0";"100,0";"100,0";"100,0";"17,0";"17,2";"17,0";"926,9";"927,5";"926,9";"0,6";"127,0";"2,5";"";"0,0"
"01/11/2021";"0500";"17,3";"17,3";"17,0";"100,0";"100,0";"100,0";"17,3";"17,3";"17,0";"926,2";"926,9";"926,2";"1,2";"142,0";"2,8";"";"0,0"
"01/11/2021";"0600";"17,0";"17,3";"17,0";"100,0";"100,0";"100,0";"17,0";"17,2";"17,0";"925,8";"926,2";"925,7";"0,9";"167,0";"2,6";"";"0,0"
"01/11/2021";"0700";"17,0";"17,1";"16,9";"100,0";"100,0";"100,0";"17,0";"17,1";"16,9";"925,7";"925,8";"925,6";"1,0";"152,0";"2,0";"";"1,0"
"01/11/2021";"0800";"17,0";"17,2";"17,0";"100,0";"100,0";"100,0";"17,0";"17,1";"17,0";"925,7";"925,7";"925,4";"1,8";"136,0";"3,6";"";"0,4"
"01/11/2021";"0900";"17,0";"17,2";"17,0";"100,0";"100,0";"100,0";"17,0";"17,2";"17,0";"926,1";"926,1";"925,6";"2,2";"119,0";"5,4";"9,10";"1,2"
"01/11/2021";"1000";"16,9";"17,2";"16,9";"100,0";"100,0";"100,0";"16,9";"17,2";"16,9";"926,1";"926,5";"926,1";"2,7";"122,0";"6,2";"27,00";"2,0"
"01/11/2021";"1100";"17,0";"17,1";"16,7";"100,0";"100,0";"100,0";"17,0";"17,0";"16,7";"926,6";"926,8";"925,8";"0,8";"176,0";"7,9";"122,60";"2,6"
"01/11/2021";"1200";"18,9";"19,4";"16,9";"85,0";"100,0";"82,0";"16,3";"17,8";"15,6";"926,6";"926,7";"926,5";"1,9";"113,0";"3,9";"1303,50";"0,0"
"01/11/2021";"1300";"18,4";"19,0";"18,1";"99,0";"100,0";"85,0";"18,3";"18,5";"16,1";"927,0";"927,1";"926,6";"2,0";"151,0";"3,7";"642,10";"0,0"
"01/11/2021";"1400";"19,0";"20,0";"18,2";"89,0";"100,0";"88,0";"17,2";"19,6";"16,9";"926,8";"927,0";"926,6";"2,0";"152,0";"5,8";"1717,50";"0,0"
"01/11/2021";"1500";"20,9";"21,5";"19,0";"81,0";"90,0";"76,0";"17,5";"18,2";"16,5";"925,9";"926,8";"925,9";"3,2";"150,0";"6,3";"2714,60";"0,0"
"01/11/2021";"1600";"21,7";"22,9";"20,9";"75,0";"82,0";"69,0";"17,0";"18,2";"16,2";"925,4";"925,9";"925,3";"4,2";"153,0";"7,3";"3880,40";"0,0"
"01/11/2021";"1700";"21,7";"22,3";"21,2";"78,0";"82,0";"73,0";"17,6";"18,5";"16,8";"924,7";"925,4";"924,7";"3,0";"110,0";"8,3";"3538,80";"0,2"
"01/11/2021";"1800";"21,3";"22,3";"20,7";"75,0";"79,0";"67,0";"16,6";"18,1";"15,8";"924,2";"924,8";"924,2";"3,2";"153,0";"6,0";"2249,90";"0,0"
"01/11/2021";"1900";"21,5";"22,1";"20,8";"76,0";"79,0";"72,0";"17,0";"17,8";"16,3";"924,0";"924,2";"923,9";"3,0";"142,0";"7,3";"1926,20";"0,0"
"01/11/2021";"2000";"20,1";"21,7";"20,1";"80,0";"81,0";"73,0";"16,5";"17,8";"16,3";"924,1";"924,2";"924,0";"4,1";"165,0";"7,3";"1131,10";"0,0"
"01/11/2021";"2100";"18,7";"20,1";"18,7";"86,0";"87,0";"80,0";"16,3";"16,9";"16,1";"925,1";"925,1";"924,1";"2,9";"160,0";"7,5";"281,00";"0,0"
"01/11/2021";"2200";"17,6";"18,7";"17,6";"95,0";"95,0";"85,0";"16,8";"16,9";"15,8";"925,5";"925,5";"925,1";"2,5";"165,0";"6,1";"13,10";"0,0"
