"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/08/2021";"0000";"11,4";"11,4";"11,2";"84,0";"86,0";"83,0";"8,7";"9,1";"8,5";"939,5";"939,5";"938,9";"2,9";"128,0";"6,6";"";"0,0"
"01/08/2021";"0100";"11,6";"11,6";"11,4";"86,0";"86,0";"83,0";"9,3";"9,3";"8,6";"939,8";"940,0";"939,5";"2,3";"120,0";"6,6";"";"0,0"
"01/08/2021";"0200";"11,1";"11,6";"11,1";"83,0";"86,0";"81,0";"8,3";"9,4";"8,2";"938,5";"939,8";"938,5";"3,7";"111,0";"8,3";"";"0,0"
"01/08/2021";"0300";"11,0";"11,2";"11,0";"83,0";"84,0";"81,0";"8,3";"8,5";"7,9";"938,4";"939,3";"938,3";"1,6";"115,0";"8,3";"";"0,0"
"01/08/2021";"0400";"10,5";"11,1";"10,5";"87,0";"87,0";"83,0";"8,4";"8,6";"8,2";"938,5";"938,8";"938,4";"1,2";"118,0";"3,9";"";"0,0"
"01/08/2021";"0500";"10,4";"10,5";"10,1";"99,0";"100,0";"87,0";"10,3";"10,5";"8,4";"937,9";"938,6";"937,9";"2,0";"112,0";"3,7";"";"0,0"
"01/08/2021";"0600";"9,9";"10,4";"9,8";"100,0";"100,0";"99,0";"9,9";"10,4";"9,8";"937,8";"938,1";"937,8";"1,3";"111,0";"3,7";"";"0,0"
"01/08/2021";"0700";"10,1";"10,1";"9,7";"85,0";"100,0";"85,0";"7,7";"10,0";"7,7";"937,5";"937,9";"937,5";"1,4";"88,0";"3,3";"";"0,0"
"01/08/2021";"0800";"9,6";"10,1";"9,5";"88,0";"88,0";"84,0";"7,6";"7,8";"7,4";"938,1";"938,1";"937,3";"1,6";"149,0";"3,3";"";"0,0"
"01/08/2021";"0900";"9,7";"9,9";"9,5";"86,0";"90,0";"85,0";"7,4";"8,1";"7,3";"938,5";"938,5";"937,9";"1,3";"117,0";"4,6";"";"0,0"
"01/08/2021";"1000";"9,6";"9,9";"9,4";"84,0";"86,0";"82,0";"7,0";"7,5";"6,8";"939,2";"939,2";"938,5";"1,3";"127,0";"3,6";"3,90";"0,0"
"01/08/2021";"1100";"12,3";"12,3";"9,6";"70,0";"85,0";"70,0";"7,0";"7,7";"6,8";"939,4";"939,6";"939,2";"1,2";"79,0";"4,5";"389,40";"0,0"
"01/08/2021";"1200";"13,8";"13,8";"11,8";"65,0";"74,0";"65,0";"7,4";"7,6";"6,9";"940,0";"940,0";"939,4";"2,2";"50,0";"6,1";"1071,10";"0,0"
"01/08/2021";"1300";"14,7";"14,8";"13,7";"61,0";"67,0";"59,0";"7,3";"7,7";"6,5";"940,2";"940,2";"940,0";"1,6";"65,0";"5,6";"1738,80";"0,0"
"01/08/2021";"1400";"15,7";"17,2";"14,3";"52,0";"62,0";"48,0";"5,7";"7,3";"5,5";"939,3";"940,2";"939,3";"2,5";"78,0";"5,7";"2137,60";"0,0"
"01/08/2021";"1500";"16,9";"17,4";"15,6";"49,0";"54,0";"47,0";"6,0";"7,0";"5,7";"938,1";"939,3";"938,1";"2,3";"97,0";"5,7";"1859,70";"0,0"
"01/08/2021";"1600";"18,4";"18,7";"16,9";"43,0";"51,0";"42,0";"5,4";"6,8";"5,2";"937,5";"938,2";"937,5";"1,2";"80,0";"5,2";"1578,20";"0,0"
