"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/07/2021";"0000";"7,7";"8,0";"7,5";"87,0";"90,0";"84,0";"5,8";"5,9";"5,2";"936,4";"936,4";"935,8";"0,8";"149,0";"4,6";"";"0,0"
"01/07/2021";"0100";"8,8";"8,9";"7,7";"84,0";"88,0";"81,0";"6,1";"6,2";"5,5";"936,7";"936,7";"936,3";"2,1";"161,0";"4,4";"";"0,0"
"01/07/2021";"0200";"8,2";"8,8";"8,2";"100,0";"100,0";"83,0";"8,2";"8,4";"6,0";"936,7";"936,8";"936,6";"2,5";"167,0";"5,9";"";"0,0"
"01/07/2021";"0300";"7,3";"8,2";"7,2";"100,0";"100,0";"100,0";"7,3";"8,2";"7,2";"936,7";"936,8";"936,6";"1,1";"169,0";"5,2";"";"0,0"
"01/07/2021";"0400";"6,7";"7,4";"6,7";"100,0";"100,0";"100,0";"6,7";"7,4";"6,7";"936,5";"936,8";"936,5";"0,8";"189,0";"2,7";"";"0,0"
"01/07/2021";"0500";"6,9";"7,2";"6,5";"";"";"";"";"";"";"936,5";"936,7";"936,5";"0,9";"156,0";"4,0";"";"0,0"
"01/07/2021";"0600";"7,5";"7,5";"6,9";"";"";"";"";"";"";"936,2";"936,5";"936,2";"1,1";"181,0";"2,5";"";"0,0"
"01/07/2021";"0700";"8,4";"8,4";"7,4";"";"";"";"";"";"";"936,1";"936,2";"936,0";"0,9";"134,0";"2,2";"";"0,0"
"01/07/2021";"0800";"9,1";"9,1";"8,4";"100,0";"";"";"9,0";"";"";"935,9";"936,1";"935,8";"1,1";"114,0";"2,6";"";"0,0"
"01/07/2021";"0900";"9,2";"9,4";"9,0";"100,0";"100,0";"53,0";"9,2";"9,3";"0,0";"936,5";"936,5";"935,8";"0,9";"152,0";"2,5";"";"0,0"
"01/07/2021";"1000";"9,7";"9,7";"9,2";"100,0";"";"";"9,7";"";"";"936,9";"936,9";"936,5";"1,0";"117,0";"3,4";"";"0,0"
"01/07/2021";"1100";"10,3";"10,3";"9,7";"100,0";"100,0";"100,0";"10,2";"10,2";"9,7";"937,4";"937,4";"936,8";"1,1";"57,0";"3,4";"102,20";"0,0"
"01/07/2021";"1200";"10,6";"10,7";"10,0";"94,0";"100,0";"94,0";"9,7";"10,7";"9,7";"937,9";"937,9";"937,4";"1,1";"72,0";"3,1";"313,50";"0,0"
"01/07/2021";"1300";"12,2";"12,6";"10,5";"80,0";"97,0";"78,0";"8,8";"10,5";"8,4";"938,2";"938,2";"937,9";"2,1";"59,0";"3,8";"929,60";"0,0"
"01/07/2021";"1400";"13,4";"13,5";"12,2";"75,0";"83,0";"74,0";"9,1";"10,0";"8,8";"938,0";"938,3";"938,0";"1,9";"109,0";"5,2";"1320,40";"0,0"
"01/07/2021";"1500";"15,7";"15,7";"13,3";"70,0";"77,0";"68,0";"10,2";"10,3";"8,8";"937,3";"938,0";"937,3";"2,8";"128,0";"5,7";"1840,10";"0,0"
"01/07/2021";"1600";"16,6";"16,6";"14,7";"67,0";"71,0";"62,0";"10,5";"10,5";"8,6";"936,2";"937,3";"936,2";"2,4";"125,0";"5,7";"2301,70";"0,0"
"01/07/2021";"1700";"15,4";"16,8";"15,3";"71,0";"71,0";"63,0";"10,2";"10,4";"9,2";"935,5";"936,2";"935,4";"3,4";"150,0";"6,6";"1647,80";"0,0"
"01/07/2021";"1800";"16,3";"16,8";"15,3";"69,0";"72,0";"67,0";"10,5";"11,0";"9,9";"935,0";"935,5";"935,0";"3,1";"135,0";"7,4";"1456,90";"0,0"
"01/07/2021";"1900";"14,9";"16,5";"14,9";"75,0";"76,0";"68,0";"10,5";"11,0";"10,2";"934,8";"935,1";"934,7";"3,9";"155,0";"7,1";"1198,60";"0,0"
"01/07/2021";"2000";"13,6";"15,2";"13,6";"85,0";"85,0";"75,0";"11,2";"11,4";"10,6";"935,2";"935,2";"934,8";"3,5";"149,0";"7,8";"478,00";"0,0"
