"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/09/2021";"0000";"15,8";"16,0";"15,7";"97,0";"97,0";"93,0";"15,3";"15,3";"14,8";"934,4";"934,5";"934,0";"2,7";"128,0";"9,3";"";"0,0"
"01/09/2021";"0100";"15,6";"15,8";"15,6";"98,0";"98,0";"96,0";"15,3";"15,4";"15,1";"934,6";"934,6";"934,4";"2,9";"119,0";"6,0";"";"0,0"
"01/09/2021";"0200";"15,4";"15,6";"15,4";"99,0";"100,0";"97,0";"15,2";"15,5";"15,0";"934,8";"934,8";"934,6";"2,3";"123,0";"5,9";"";"0,0"
"01/09/2021";"0300";"15,1";"15,5";"15,1";"98,0";"99,0";"96,0";"14,8";"15,2";"14,7";"934,6";"934,8";"934,6";"2,3";"115,0";"5,7";"";"0,0"
"01/09/2021";"0400";"15,0";"15,2";"14,9";"97,0";"99,0";"97,0";"14,6";"15,1";"14,6";"934,3";"934,7";"934,3";"1,8";"122,0";"4,7";"";"0,0"
"01/09/2021";"0500";"14,0";"15,0";"14,0";"100,0";"100,0";"89,0";"14,0";"14,5";"13,1";"934,1";"934,3";"934,0";"1,3";"139,0";"3,6";"";"0,0"
"01/09/2021";"0600";"13,7";"14,1";"13,7";"100,0";"100,0";"100,0";"13,7";"14,1";"13,7";"933,8";"934,1";"933,8";"1,3";"135,0";"3,4";"";"0,0"
"01/09/2021";"0700";"13,3";"13,7";"13,2";"100,0";"100,0";"100,0";"13,3";"13,7";"13,2";"933,6";"933,8";"933,6";"1,5";"128,0";"3,4";"";"0,0"
"01/09/2021";"0800";"13,4";"13,8";"13,2";"100,0";"100,0";"100,0";"13,4";"13,7";"13,2";"933,9";"933,9";"933,6";"1,8";"139,0";"3,7";"";"0,0"
"01/09/2021";"0900";"13,2";"13,6";"13,0";"100,0";"100,0";"100,0";"13,2";"13,6";"13,0";"934,4";"934,4";"933,9";"1,4";"132,0";"3,3";"";"0,0"
"01/09/2021";"1000";"13,7";"13,7";"13,1";"100,0";"100,0";"100,0";"13,7";"13,7";"13,1";"935,0";"935,0";"934,4";"2,1";"103,0";"3,9";"42,50";"0,0"
"01/09/2021";"1100";"16,1";"16,1";"13,7";"83,0";"100,0";"82,0";"13,2";"14,4";"12,7";"934,9";"935,1";"934,9";"1,9";"103,0";"4,0";"620,10";"0,0"
"01/09/2021";"1200";"18,7";"18,7";"16,0";"65,0";"84,0";"65,0";"12,1";"13,4";"11,7";"934,8";"935,0";"934,8";"2,2";"79,0";"5,9";"1540,00";"0,0"
"01/09/2021";"1300";"20,0";"20,1";"18,2";"56,0";"67,0";"56,0";"11,0";"12,0";"10,9";"934,9";"935,0";"934,7";"2,4";"79,0";"8,1";"2293,30";"0,0"
"01/09/2021";"1400";"21,1";"21,1";"19,2";"49,0";"59,0";"49,0";"10,0";"11,5";"9,6";"934,4";"935,0";"934,4";"2,6";"65,0";"6,0";"2396,20";"0,0"
"01/09/2021";"1500";"22,5";"23,0";"20,7";"43,0";"52,0";"42,0";"9,2";"10,9";"8,7";"933,5";"934,4";"933,5";"2,6";"50,0";"6,1";"3020,50";"0,0"
"01/09/2021";"1600";"21,8";"22,9";"21,5";"57,0";"58,0";"39,0";"12,9";"13,2";"8,1";"932,8";"933,5";"932,8";"2,8";"136,0";"6,1";"3136,90";"0,0"
"01/09/2021";"1700";"21,0";"21,9";"20,6";"62,0";"63,0";"56,0";"13,5";"13,9";"12,1";"932,0";"932,8";"932,0";"3,5";"115,0";"8,5";"2887,60";"0,0"
"01/09/2021";"1800";"19,9";"21,5";"19,5";"70,0";"71,0";"60,0";"14,2";"14,5";"13,0";"931,3";"932,0";"931,3";"3,9";"156,0";"8,5";"2416,00";"0,0"
"01/09/2021";"1900";"19,0";"20,1";"18,5";"74,0";"75,0";"67,0";"14,2";"14,6";"13,5";"931,2";"931,3";"931,1";"3,6";"150,0";"8,2";"1760,40";"0,0"
"01/09/2021";"2000";"17,2";"19,0";"17,1";"84,0";"84,0";"72,0";"14,4";"14,5";"13,7";"931,3";"931,3";"931,1";"4,1";"150,0";"9,0";"919,90";"0,0"
"01/09/2021";"2100";"16,4";"17,3";"16,4";"86,0";"88,0";"84,0";"14,1";"14,8";"14,0";"931,3";"931,4";"931,2";"3,7";"144,0";"7,7";"137,40";"0,0"
