"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/05/2021";"0000";"16,3";"16,3";"16,1";"92,0";"93,0";"91,0";"15,0";"15,1";"14,8";"933,9";"933,9";"933,7";"";"";"";"";"0,0"
"01/05/2021";"0100";"16,0";"16,3";"16,0";"90,0";"92,0";"90,0";"14,4";"15,1";"14,4";"933,9";"933,9";"933,7";"";"";"";"";"0,0"
"01/05/2021";"0200";"15,3";"16,0";"15,3";"90,0";"90,0";"84,0";"13,7";"14,3";"13,2";"934,1";"934,1";"933,9";"";"";"";"";"0,0"
"01/05/2021";"0300";"15,2";"15,4";"15,1";"93,0";"94,0";"90,0";"14,1";"14,1";"13,7";"934,0";"934,2";"933,9";"";"";"";"";"0,0"
"01/05/2021";"0400";"15,4";"15,4";"15,2";"93,0";"94,0";"93,0";"14,3";"14,3";"14,1";"933,4";"934,0";"933,4";"";"";"";"";"0,0"
"01/05/2021";"0500";"15,4";"15,4";"15,3";"93,0";"94,0";"93,0";"14,2";"14,4";"14,2";"933,0";"933,4";"933,0";"";"";"";"";"0,0"
"01/05/2021";"0600";"15,5";"15,5";"15,2";"90,0";"93,0";"90,0";"13,9";"14,3";"13,9";"932,6";"933,0";"932,6";"";"";"";"";"0,0"
"01/05/2021";"0700";"15,0";"15,5";"14,9";"90,0";"91,0";"89,0";"13,3";"13,8";"13,3";"932,3";"932,6";"932,3";"";"";"";"";"0,0"
"01/05/2021";"0800";"14,6";"15,0";"14,5";"87,0";"90,0";"87,0";"12,5";"13,3";"12,5";"932,3";"932,3";"932,2";"";"";"";"";"0,0"
"01/05/2021";"0900";"14,4";"14,6";"14,2";"85,0";"89,0";"84,0";"11,9";"12,5";"11,8";"932,9";"932,9";"932,3";"";"";"";"";"0,0"
"01/05/2021";"1000";"14,3";"14,4";"13,8";"86,0";"88,0";"85,0";"12,0";"12,0";"11,8";"933,6";"933,6";"932,9";"";"";"";"24,10";"0,0"
"01/05/2021";"1100";"16,2";"16,3";"14,3";"78,0";"86,0";"77,0";"12,2";"12,8";"11,9";"934,3";"934,3";"933,6";"";"";"";"521,70";"0,0"
"01/05/2021";"1200";"17,8";"17,8";"16,1";"72,0";"80,0";"72,0";"12,7";"13,1";"12,3";"934,8";"934,8";"934,3";"";"";"";"1331,60";"0,0"
"01/05/2021";"1300";"19,0";"19,2";"17,6";"62,0";"75,0";"62,0";"11,5";"13,3";"11,5";"934,9";"935,0";"934,8";"";"";"";"2010,40";"0,0"
"01/05/2021";"1400";"20,3";"20,5";"18,8";"60,0";"65,0";"59,0";"12,2";"13,3";"11,5";"934,5";"935,0";"934,5";"";"";"";"2481,00";"0,0"
"01/05/2021";"1500";"21,4";"21,9";"20,2";"57,0";"62,0";"54,0";"12,6";"13,3";"11,6";"933,8";"934,5";"933,8";"";"";"";"2778,30";"0,0"
