"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/10/2021";"0000";"16,4";"16,4";"16,0";"99,0";"100,0";"98,0";"16,2";"16,3";"16,0";"927,7";"927,7";"926,4";"3,0";"141,0";"7,3";"";"0,0"
"01/10/2021";"0100";"16,2";"16,5";"16,2";"100,0";"100,0";"99,0";"16,2";"16,4";"16,2";"927,4";"927,7";"927,1";"2,0";"98,0";"5,6";"";"0,0"
"01/10/2021";"0200";"16,6";"16,6";"16,0";"87,0";"100,0";"87,0";"14,4";"16,2";"14,3";"926,7";"927,4";"926,5";"1,3";"90,0";"5,6";"";"0,0"
"01/10/2021";"0300";"17,0";"17,1";"16,6";"85,0";"87,0";"84,0";"14,4";"14,5";"14,2";"926,4";"926,7";"926,4";"1,3";"89,0";"4,2";"";"0,0"
"01/10/2021";"0400";"17,0";"17,2";"16,8";"86,0";"87,0";"85,0";"14,6";"14,7";"14,4";"924,9";"926,4";"924,9";"1,7";"62,0";"4,4";"";"0,0"
"01/10/2021";"0500";"16,6";"17,0";"16,6";"89,0";"89,0";"85,0";"14,8";"14,8";"14,4";"924,3";"924,9";"924,3";"0,9";"25,0";"3,8";"";"0,0"
"01/10/2021";"0600";"16,8";"16,8";"16,4";"89,0";"90,0";"88,0";"14,9";"15,0";"14,6";"923,5";"924,3";"923,5";"1,6";"35,0";"4,8";"";"0,0"
"01/10/2021";"0700";"16,9";"17,0";"16,7";"88,0";"90,0";"87,0";"15,0";"15,0";"14,9";"922,9";"923,5";"922,4";"1,5";"43,0";"5,6";"";"0,0"
"01/10/2021";"0800";"17,1";"17,1";"16,8";"90,0";"92,0";"88,0";"15,5";"15,6";"14,9";"923,0";"923,1";"922,9";"1,6";"102,0";"3,5";"";"0,0"
"01/10/2021";"0900";"17,2";"17,2";"17,1";"90,0";"91,0";"89,0";"15,5";"15,6";"15,4";"923,8";"923,8";"923,0";"1,6";"76,0";"4,3";"";"0,0"
"01/10/2021";"1000";"17,8";"17,8";"17,2";"88,0";"91,0";"87,0";"15,8";"15,9";"15,5";"924,8";"924,8";"923,8";"1,2";"74,0";"4,0";"135,50";"0,0"
"01/10/2021";"1100";"18,6";"18,7";"17,7";"83,0";"88,0";"83,0";"15,8";"16,0";"15,5";"925,3";"925,3";"924,8";"1,3";"25,0";"3,9";"519,90";"0,0"
"01/10/2021";"1200";"21,0";"21,0";"18,6";"72,0";"84,0";"71,0";"15,7";"16,2";"15,3";"925,3";"925,5";"925,2";"1,5";"43,0";"4,2";"1417,60";"0,0"
"01/10/2021";"1300";"21,3";"21,6";"20,9";"72,0";"73,0";"68,0";"16,1";"16,3";"15,1";"926,8";"927,0";"925,1";"3,3";"177,0";"7,4";"1596,70";"0,0"
