"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/04/2021";"0000";"16,7";"17,1";"16,7";"93,0";"93,0";"92,0";"15,6";"15,9";"15,6";"924,5";"924,7";"924,3";"2,7";"163,0";"5,2";"";"0,0"
"01/04/2021";"0100";"16,6";"16,8";"16,5";"92,0";"93,0";"92,0";"15,3";"15,6";"15,3";"924,7";"924,7";"924,5";"2,2";"162,0";"5,4";"";"0,0"
"01/04/2021";"0200";"16,2";"16,6";"16,2";"94,0";"94,0";"92,0";"15,2";"15,5";"15,2";"924,4";"924,7";"924,4";"1,6";"163,0";"5,0";"";"0,0"
"01/04/2021";"0300";"16,2";"16,3";"16,0";"93,0";"94,0";"93,0";"15,1";"15,2";"15,0";"924,2";"924,4";"924,1";"1,8";"166,0";"4,0";"";"0,0"
"01/04/2021";"0400";"15,9";"16,2";"15,8";"96,0";"96,0";"93,0";"15,2";"15,2";"15,0";"924,0";"924,2";"924,0";"1,4";"185,0";"4,0";"";"0,0"
"01/04/2021";"0500";"15,4";"15,9";"15,4";"96,0";"97,0";"95,0";"14,9";"15,2";"14,9";"923,8";"924,0";"923,8";"0,8";"190,0";"2,6";"";"0,0"
"01/04/2021";"0600";"14,8";"15,5";"14,8";"97,0";"97,0";"96,0";"14,4";"15,0";"14,3";"923,3";"923,8";"923,3";"0,7";"297,0";"2,1";"";"0,0"
"01/04/2021";"0700";"15,3";"15,3";"14,7";"98,0";"98,0";"97,0";"15,0";"15,0";"14,3";"923,7";"923,7";"923,3";"0,4";"230,0";"2,1";"";"0,0"
"01/04/2021";"0800";"15,4";"15,5";"15,2";"97,0";"98,0";"97,0";"15,0";"15,2";"14,9";"923,9";"923,9";"923,6";"0,5";"226,0";"2,1";"";"0,0"
"01/04/2021";"0900";"14,8";"15,5";"14,8";"97,0";"97,0";"95,0";"14,3";"15,0";"14,2";"924,2";"924,3";"923,9";"0,4";"196,0";"1,8";"";"0,0"
"01/04/2021";"1000";"15,5";"15,5";"14,6";"95,0";"97,0";"95,0";"14,7";"14,7";"14,1";"924,9";"924,9";"924,2";"0,6";"252,0";"1,6";"102,20";"0,0"
"01/04/2021";"1100";"17,9";"17,9";"15,4";"80,0";"95,0";"80,0";"14,5";"14,7";"14,1";"925,6";"925,6";"924,9";"1,0";"211,0";"3,9";"736,20";"0,0"
"01/04/2021";"1200";"19,0";"19,3";"17,9";"76,0";"82,0";"74,0";"14,6";"15,8";"14,2";"926,2";"926,2";"925,6";"1,9";"216,0";"4,6";"1653,40";"0,0"
"01/04/2021";"1300";"21,2";"21,2";"18,8";"69,0";"78,0";"67,0";"15,2";"15,5";"13,8";"926,2";"926,3";"926,0";"1,3";"201,0";"5,9";"2236,00";"0,0"
"01/04/2021";"1400";"21,8";"22,4";"20,5";"61,0";"71,0";"61,0";"14,1";"16,5";"13,9";"926,1";"926,3";"926,1";"1,7";"246,0";"5,5";"2668,70";"0,0"
